key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,38.502935,5,12.77311,space,50.564565,space,4.185355,2,1,6.424195,7,9.21804,0,0,0,0,1,practice/practice_1_std.wav,2,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,1,1,7.034455,1,2.48456,0,1,1,1,1,practice/practice_1_dev.wav,1,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,2,1,2.70642,7,1.607125,0,2,2,2,1,practice/practice_2_std.wav,2,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,1,1,3.500515,7,1.54895,0,3,3,3,1,practice/practice_2_dev.wav,1,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,1,1,5.70129,4,5.10477,0,4,4,4,1,practice/practice_3_dev.wav,1,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,2,0,11.00273,4,7.469045,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,space,6.67835,0,0,0,17,1,mels/atonal_5a_dev.wav
,,,,,,,,2,0,9.667175,3,4.367735,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,1,1,5,1,mels/atonal_2a_dev.wav
,,,,,,,,1,1,4.46766,3,7.38458,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,2,2,22,1,mels/atonal_6b_std.wav
,,,,,,,,2,0,2.90767,5,8.30859,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,3,3,28,1,mels/tonal_2a_std.wav
,,,,,,,,1,1,2.884195,6,7.223915,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,4,4,29,1,mels/tonal_2a_dev.wav
,,,,,,,,2,0,13.667375,4,4.08342,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,5,5,12,1,mels/atonal_4a_std.wav
,,,,,,,,2,0,13.716565,3,6.38444,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,6,6,43,1,mels/tonal_5b_dev.wav
,,,,,,,,2,0,2.904695,5,2.78383,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,7,7,24,1,mels/tonal_1a_std.wav
,,,,,,,,1,1,1.955345,4,1.48759,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,8,8,13,1,mels/atonal_4a_dev.wav
,,,,,,,,2,0,9.600245,4,5.66731,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,9,9,4,1,mels/atonal_2a_std.wav
,,,,,,,,2,0,2.774205,5,2.31787,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,10,10,27,1,mels/tonal_1b_dev.wav
,,,,,,,,2,0,2.383505,5,1.636245,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,11,11,26,1,mels/tonal_1b_std.wav
,,,,,,,,1,1,2.7674,4,1.93633,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,12,12,20,1,mels/atonal_6a_std.wav
,,,,,,,,1,1,2.90182,5,4.790235,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,13,13,1,1,mels/atonal_1a_dev.wav
,,,,,,,,2,0,1.91896,5,3.651415,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,14,14,8,1,mels/atonal_3a_std.wav
,,,,,,,,1,1,2.122775,7,3.035065,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,15,15,11,1,mels/atonal_3b_dev.wav
,,,,,,,,1,1,7.572905,5,1.801285,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,16,16,44,1,mels/tonal_6a_std.wav
,,,,,,,,2,0,3.0671,4,2.13448,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,17,17,19,1,mels/atonal_5b_dev.wav
,,,,,,,,2,0,8.521955,5,3.58426,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,18,18,6,1,mels/atonal_2b_std.wav
,,,,,,,,2,0,18.49963,4,3.53453,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,19,19,30,1,mels/tonal_2b_std.wav
,,,,,,,,2,0,1.76928,5,3.737655,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,20,20,40,1,mels/tonal_5a_std.wav
,,,,,,,,1,1,3.73416,6,1.95428,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,21,21,45,1,mels/tonal_6a_dev.wav
,,,,,,,,1,1,1.41712,5,0.734535,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,22,22,42,1,mels/tonal_5b_std.wav
,,,,,,,,1,1,1.866405,6,1.31791,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,23,23,3,1,mels/atonal_1b_dev.wav
,,,,,,,,1,1,1.106045,5,2.27449,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,24,24,31,1,mels/tonal_2b_dev.wav
,,,,,,,,1,1,3.56755,5,1.07171,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,25,25,41,1,mels/tonal_5a_dev.wav
,,,,,,,,2,0,1.61701,5,1.667155,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,26,26,38,1,mels/tonal_4b_std.wav
,,,,,,,,1,1,1.26543,5,1.618655,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,27,27,21,1,mels/atonal_6a_dev.wav
,,,,,,,,2,0,3.05139,5,1.153465,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,28,28,32,1,mels/tonal_3a_std.wav
,,,,,,,,2,0,1.687985,5,0.804985,,,,,,,,55,m,20,1,20,2020-12-07_09h40.37.702,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,29,29,16,1,mels/atonal_5a_std.wav
