key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,By klicking “OK” below I confirm that I have carefully read the information in the email and I agree to participate in the study,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,31.559,1,10.544,space,29.559,space,2.795,2,1,3.459,6,5.613,0,0,0,0,1,practice/practice_1_std.wav,2,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,2,0,1.787,6,4.172,0,1,1,1,1,practice/practice_1_dev.wav,1,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,2,1,5.491,6,2.439,0,2,2,2,1,practice/practice_2_std.wav,2,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,2.22,6,2.423,0,3,3,3,1,practice/practice_2_dev.wav,1,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,3.619,6,2.187,0,4,4,4,1,practice/practice_3_dev.wav,1,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,3.806,6,2.943,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,space,3.381,0,0,0,22,1,mels/atonal_6b_std.wav
,,,,,,,,1,1,3.591,3,4.359,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,1,1,36,1,mels/tonal_4a_std.wav
,,,,,,,,1,1,2.604,6,2.391,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,2,2,27,1,mels/tonal_1b_dev.wav
,,,,,,,,2,0,3.371,3,2.475,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,3,3,46,1,mels/tonal_6b_std.wav
,,,,,,,,1,1,1.704,5,2.791,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,4,4,1,1,mels/atonal_1a_dev.wav
,,,,,,,,2,0,1.887,5,2.019,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,5,5,43,1,mels/tonal_5b_dev.wav
,,,,,,,,2,0,11.617,2,3.87,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,6,6,35,1,mels/tonal_3b_dev.wav
,,,,,,,,1,1,2.852,3,2.859,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,7,7,6,1,mels/atonal_2b_std.wav
,,,,,,,,2,0,5.106,5,3.888,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,8,8,0,1,mels/atonal_1a_std.wav
,,,,,,,,2,0,2.553,6,2.303,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,9,9,44,1,mels/tonal_6a_std.wav
,,,,,,,,2,0,1.471,6,1.67,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,10,10,38,1,mels/tonal_4b_std.wav
,,,,,,,,1,1,3.27,3,2.522,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,11,11,23,1,mels/atonal_6b_dev.wav
,,,,,,,,1,1,3.093,2,2.285,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,12,12,12,1,mels/atonal_4a_std.wav
,,,,,,,,1,1,1.585,6,2.055,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,13,13,16,1,mels/atonal_5a_std.wav
,,,,,,,,1,1,3.322,5,3.503,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,14,14,47,1,mels/tonal_6b_dev.wav
,,,,,,,,1,1,1.253,6,1.719,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,15,15,31,1,mels/tonal_2b_dev.wav
,,,,,,,,2,0,4.425,2,2.053,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,16,16,32,1,mels/tonal_3a_std.wav
,,,,,,,,2,0,2.403,5,2.52,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,17,17,39,1,mels/tonal_4b_dev.wav
,,,,,,,,1,1,3.403,3,2.487,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,18,18,45,1,mels/tonal_6a_dev.wav
,,,,,,,,1,1,2.554,5,2.151,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,19,19,21,1,mels/atonal_6a_dev.wav
,,,,,,,,2,0,3.586,2,1.924,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,20,20,10,1,mels/atonal_3b_std.wav
,,,,,,,,1,1,0.767,7,1.585,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,21,21,29,1,mels/tonal_2a_dev.wav
,,,,,,,,1,1,0.974,7,1.335,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,22,22,5,1,mels/atonal_2a_dev.wav
,,,,,,,,2,0,3.721,3,1.991,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,23,23,37,1,mels/tonal_4a_dev.wav
,,,,,,,,1,1,1.235,5,3.803,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,24,24,26,1,mels/tonal_1b_std.wav
,,,,,,,,2,0,3.041,3,1.572,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,25,25,20,1,mels/atonal_6a_std.wav
,,,,,,,,1,1,1.67,5,1.401,,,,,,,,I confirm,75,f,42,0,0,2021-01-13_15h55.57.042,exp_mumufe_builder,2020.2.2,Win32,60,,,0,26,26,9,1,mels/atonal_3a_dev.wav
